0,257
1,305
2,493
3,690
4,664
5,508
6,675
7,476
8,663
9,793
10,495
11,647
12,670
13,833
14,978
15,995
16,2182
17,788
18,773
19,1927
20,1216
21,1705
22,2320
23,775
24,1439
25,5132
26,2006
27,1649
28,1494
29,1582
30,2574
31,3505
32,1679
33,4082
34,1779
35,2235
36,3371
37,1535
38,4061
39,3838
40,7142
41,8653
42,4717
43,7321
44,17666
45,12695
46,11279
47,13209
48,14958
49,12453
50,15845
51,11439
52,9411
53,10215
54,16665
55,16332
56,25175
57,12711
58,15258
59,12924
60,13848
61,12963
62,12577
63,22627
64,13697
65,17604
66,16566
67,12993
68,13450
69,13288
70,13643
71,13573
72,15202
73,14945
74,18074
75,15974
76,15344
77,15220
78,17595
79,13971
80,14540
81,14890
82,16419
83,24428
84,17477
85,15573
86,27850
87,23069
88,13911
89,13122
90,15773
91,13384
92,15861
93,20516
94,22314
95,15746
96,17933
97,13970
98,17868
99,14807
100,28760
101,14835
102,17214
103,13608
104,14015
105,15131
106,15375
107,15703
108,15123
109,24744
110,12794
111,14959
112,14853
113,17025
114,27460
115,17839
116,18621
117,16694
118,15171
119,19332
120,15489
121,11854
122,22706
123,18377
124,20582
125,21448
126,21528
127,17985
128,21917
129,15063
130,20073
131,26545
132,14251
133,22647
134,16134
135,18538
136,16425
137,14609
138,14569
139,26470
140,27026
141,25712
142,14108
143,30008
144,27119
145,29177
146,28551
147,28359
148,26377
149,30901
150,32797
151,34046
152,30188
153,29879
154,30148
155,31928
156,29205
157,30109
158,32634
